Value,FootPrint,Datasheet,Description,Digikey Part number,Manufaturer Part Number,Manufaturer,Qty
3.3UH,Aardonyx:Bourns_srn8040ta_L8.5_W6.6,https://www.digikey.in/product-detail/en/bourns-inc/SRN8040TA-3R3Y/SRN8040TA-3R3YCT-ND/6155255,FIXED IND 3.3UH 6.6A 15 MOHM SMD,SRN8040TA-3R3YCT-ND,SRN8040TA-3R3Y,Bourns Inc.,1
"0.02E,2512",Resistor_SMD:R_2512_6332Metric,https://www.digikey.com/product-detail/en/yageo/PA2512FKF7W0R002E/YAG2142CT-ND/5139590,RES 0.002 OHM 1% 2W 2512,YAG2142CT-ND,PA2512FKF7W0R002E,Yageo,2
"0E, 0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.com/product-detail/en/vishay-dale/CRCW08050000Z0EA/541-0-0ACT-ND/1180267,RES SMD 0 OHM JUMPER 1/8W 0805 , 541-0.0ACT-ND ,CRCW08050000Z0EA ,Vishay Dale,2
"169KE,0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB1693V/P169KDACT-ND/3074985,RES 169K OHM 0.1% 1/8W 0805,P169KDACT-ND,ERA-6AEB1693V,Panasonic Electronic Components,1
"30.1KE,0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERA-6AEB3012V/P30-1KDACT-ND/3075076,RES 30.1K OHM 0.1% 1/8W 0805,P30.1KDACT-ND,ERA-6AEB3012V,Panasonic Electronic Components,2
"10KE,0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.in/product-detail/en/yageo/RC0805FR-0710KL/311-10-0KCRCT-ND/730482,RES SMD 10K OHM 1% 1/8W 0805,311-10.0KCRCT-ND,RC0805FR-0710KL,Yageo,4
"220E,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/yageo/RC0402FR-07220RL/311-220LRDKR-ND/732459,RES SMD 220 OHM 1% 1/16W 0402,311-220LRDKR-ND,RC0402FR-07220RL,Yageo,1
"78.7KE,0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERA-6AEB7872V/P78-7KDACT-ND/3075252,RES 78.7K OHM 0.1% 1/8W 0805,P78.7KDACT-ND,ERA-6AEB7872V,Panasonic Electronic Components,1
"120E,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/yageo/RC1206JR-07120RL/311-120ERCT-ND/732162,RES SMD 120 OHM 1% 1/16W 0402,311-120LRCT-ND,RC0402FR-07120RL,Yageo,1
FDN339AN,Package_TO_SOT_SMD:SuperSOT-3,https://www.digikey.com/product-detail/en/on-semiconductor/FDN339AN/FDN339ANCT-ND/965603,MOSFET N-CH 20V 3A SSOT3,FDN339ANCT-ND,FDN339AN,ON Semiconductor,1
"1KE,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERJ-2GEJ102X/P1-0KJCT-ND/146897,RES SMD 1K OHM 5% 1/10W 0402 ,P1.0KJCT-ND ,ERJ-2GEJ102X ,Panasonic Electronic ,1
"12KE,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERA-2AEB123X/P12KDCCT-ND/1706209,RES SMD 12K OHM 0.1% 1/16W 0402,P12KDCCT-ND,ERA-2AEB123X,Panasonic Electronic Components,1
"0E, 0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/vishay-dale/CRCW04020000Z0ED/541-0-0JCT-ND/1182611,RES SMD 0 OHM JUMPER 1/16W 0402,541-0.0JCT-ND,CRCW04020000Z0ED,Vishay Dale,7
"1KE,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERJ-2GEJ102X/P1-0KJCT-ND/146897,RES SMD 1K OHM 5% 1/10W 0402,P1.0KJCT-ND ,ERA-2AEB123X,Panasonic Electronic Components,16
"4.7KE, 0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/yageo/RC0402JR-074K7L/311-4-7KJRCT-ND/726477,RES SMD 4.7K OHM 5% 1/16W 0402,311-4.7KJRCT-ND,RC0402JR-074K7L,Yageo,6
"22.1KE,0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERA-6AEB2212V/P22-1KDACT-ND/3075024,RES 22.1K OHM 0.1% 1/8W 0805,P22.1KDACT-ND,ERA-6AEB2212V,Panasonic Electronic Components,1
"124KE,0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERJ-6ENF1243V/P124KCCT-ND/119578,RES SMD 124K OHM 1% 1/8W 0805,P124KCCT-ND,ERJ-6ENF1243V,Panasonic Electronic Components,1
"10KE,0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.in/product-detail/en/yageo/RC0805FR-0710KL/311-10-0KCRCT-ND/730482,RES SMD 10K OHM 1% 1/8W 0805,311-10.0KCRCT-ND,RC0805FR-0710KL,Yageo,12
"200KE,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.com/product-detail/en/koa-speer-electronics-inc/RN73H1ETTP2003B25/2019-RN73H1ETTP2003B25CT-ND/9916930,RES 200K OHM 0.1% 1/16W 0402 ,2019-RN73H1ETTP2003B25CT-ND ,RN73H1ETTP2003B25,"KOA Speer Electronics, Inc.",2
"22E,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.com/product-detail/en/yageo/RC0402FR-0722RL/311-22-0LRCT-ND/729509,RES SMD 22 OHM 1% 1/16W 0402,311-22.0LRCT-ND,RC0402FR-0722RL,Yageo,76
"1KE,0402",Resistor_SMD:R_0805_2012Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERJ-2GEJ102X/P1-0KJCT-ND/146897,RES SMD 1K OHM 5% 1/10W 0402,P1.0KJCT-ND ,ERA-2AEB123X,Panasonic Electronic Components,2
"220E,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/yageo/RC0402FR-07220RL/311-220LRDKR-ND/732459,RES SMD 220 OHM 1% 1/16W 0402,311-220LRDKR-ND,RC0402FR-07220RL,Yageo,3
"4.7KE,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/yageo/RC0402JR-074K7L/311-4-7KJRCT-ND/726477,RES SMD 4.7K OHM 5% 1/16W 0402,311-4.7KJRCT-ND,RC0402JR-074K7L,Yageo,1
"10KE,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/yageo/RC0805FR-0710KL/311-10-0KCRCT-ND/730482,RES SMD 10K OHM 1% 1/8W 0805,311-10.0KCRCT-ND,RC0805FR-0710KL,Yageo,1
SW_SPST,Aardonyx:SW_toggle_spst_2.54mm,https://www.digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/TMS6T1B1M1QE/450-2109-ND/5125729,SWITCH TOGGLE SPST 3A 120V,TMS6T1B1M1QE,TMS6T1B1M1QE (2267080-1),TE Connectivity ALCOSWITCH Switches,1
FSM2JSMAATR ,Aardonyx:SW_PUSH_SPST_NO_4.5MM_7MM,https://www.digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/FSM2JSMAATR/450-1792-1-ND/3503931,SWITCH TACTILE SPST-NO 0.05A 24V,450-1792-1-ND,FSM2JSMAATR,TE Connectivity ALCOSWITCH Switches,1
SW_DIP_x03,Button_Switch_THT:SW_DIP_SPSTx03_Slide_6.7x9.18mm_W7.62mm_P2.54mm_LowProfile,https://www.digikey.com/product-detail/en/w%C3%BCrth-elektronik/418117270903/732-3833-5-ND/3174487,SWITCH SLIDE DIP SPST 25MA 24V,732-3833-5-ND,418117270903,Würth Elektronik,1
FT2232H,Package_QFP:LQFP-64_10x10mm_P0.5mm,https://www.digikey.com/product-detail/en/ftdi-future-technology-devices-international-ltd/FT2232HL-REEL/768-1024-1-ND/1986057,IC USB HS DUAL UART/FIFO 64-LQFP,768-1024-1-ND,FT2232HL-REEL,"FTDI, Future Technology Devices International Ltd",1
IS42S32160F-TSOP2,Aardonyx:TSSOP-II-86_10.16x22.2mm_P0.5mm,https://www.digikey.in/product-detail/en/issi-integrated-silicon-solution-inc/IS42S32160F-7TLI/706-1417-5-ND/5319838,IC DRAM 512M PARALLEL 86TSOP II,706-1417-5-ND,IS42S32160F-7TLI,"ISSI, Integrated Silicon Solution Inc",1
CDCE913PW,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,https://www.digikey.com/product-detail/en/texas-instruments/CDCE913PWR/296-38908-1-ND/5143014,IC PROG PLL VCXO CLK SYN 14TSSOP,296-38908-1-ND,CDCE913PWR,Texas Instruments,1
TPS54627DDAR,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,https://www.digikey.in/product-detail/en/texas-instruments/TPS54627DDAR/296-40808-1-ND/5178685,IC REG BUCK ADJUSTABLE 6A 8SOPWR,296-40808-1-ND,TPS54627DDAR,Texas Instruments,1
CAT24M01WI-GT3,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.digikey.in/product-detail/en/on-semiconductor/CAT24M01WI-GT3/CAT24M01WI-GT3OSCT-ND/2698362,IC EEPROM 1M I2C 1MHZ 8SOIC,CAT24M01XI-T2OSCT-ND,CAT24M01XI-T2,ON Semiconductor,1
IS25LP256x-xM,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm,https://www.digikey.in/product-detail/en/issi-integrated-silicon-solution-inc/IS25LP256D-JMLE/706-1611-ND/7567432,IC FLASH 256M SPI 133MHZ 16SOIC,706-1611-ND,IS25LP256D-JMLE,"ISSI, Integrated Silicon Solution Inc",1
ADC128S102CIMTX/NOPB,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,https://www.digikey.in/product-detail/en/texas-instruments/ADC128S102CIMTX-NOPB/296-41184-1-ND/5222639,IC ADC 12BIT SAR 16TSSOP,296-41184-1-ND,ADC128S102CIMTX/NOPB,Texas Instruments,1
LSF0108PWR,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,https://www.digikey.in/product-detail/en/texas-instruments/LSF0108PWR/296-37828-1-ND/4876357,IC TRNSLTR BIDIRECTIONAL 20TSSOP,296-37828-1-ND,LSF0108PWR,Texas Instruments,2
TPS7A7002DDAR,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,https://www.digikey.in/product-detail/en/texas-instruments/TPS7A7002DDAR/296-40977-1-ND/5178854,IC REG LIN POS ADJ 3A 8SO PWRPAD,296-40977-1-ND,TPS7A7002DDAR,Texas Instruments,2
ADM1085,Package_SO:SC-74-6_1.5x2.9mm_P0.95mm,https://www.mouser.in/ProductDetail/Analog-Devices/ADM1085AKSZ-REEL7?qs=sGAEpiMZZMv9Q1JI0Mo%2FtdiYL5rCVCWC (or)  https://www.digikey.com/product-detail/en/analog-devices-inc/ADM1085AKSZ-REEL7/ADM1085AKSZ-REEL7CT-ND/820429,IC SUPERVISOR 1 CHANNEL SC70-6,ADM1085AKSZ-REEL7CT-ND,ADM1085AKSZ-REEL7,Analog Devices Inc.,2
74AUP1G09GW,Package_TO_SOT_SMD:SOT-353_SC-70-5_Handsoldering,https://www.digikey.in/product-detail/en/nexperia-usa-inc/74AUP1G09GW-125/1727-4492-1-ND/2530869,IC GATE AND 1CH 2-INP 5TSSOP,1727-4492-1-ND,"74AUP1G09GW,125",Nexperia USA Inc.,1
93LC56BT-I_OT,Package_TO_SOT_SMD:SOT-23-6,https://www.digikey.com/product-detail/en/microchip-technology/93LC56BT-I-OT/93LC56BT-I-OTCT-ND/857632,IC EEPROM 2K SPI 2MHZ SOT23-6,93LC56BT-I/OTCT-ND,93LC56BT-I/OT,Microchip Technology,1
12MHz,Aardonyx:Crystal_SMD_ROHS_CSM_7XDN_HandSoldering,https://www.digikey.in/product-detail/en/ecs-inc/ECS-120-20-5PXDN-TR/XC1298CT-ND/827762,CRYSTAL 12.0000MHZ 20PF SMD,XC1298CT-ND,ECS-120-20-5PXDN-TR,ECS Inc.,1
27MHz,Aardonyx:Crystal_SMD_ROHS_CSM_7XDN_HandSoldering,https://www.digikey.in/product-detail/en/ecs-inc/ECS-270-18-5PX-F-TR/XC1002CT-ND/813243,CRYSTAL 27.0000MHZ 18PF SMD,XC1002CT-ND,ECS-270-18-5PX-F-TR,ECS Inc.,1
