Reference,Value,Footprint,Datasheet,Description,Digikey part number,Manufaturer Part Number,Manufaturer,Qty,UNIT_PRICE,10_UNIT_PRICE,100_UNIT_PRICE,1000_UNIT_PRICE
">  C3, C6","18PF,0402",Capacitor_SMD:C_0402_1005Metric,https://www.digikey.in/product-detail/en/yageo/CC0201JRNPO9BN180/311-1386-1-ND/2833692,CAP CER 18PF 50V C0G/NPO 0201 ,311-1386-1-ND ,CC0201JRNPO9BN180 ,Yageo,2,7.56,13.6,59.7,336.26
">  C1, C2, C5, C9, C55, C59, C91","4.7UF,1206",Capacitor_SMD:C_1206_3216Metric,https://www.digikey.in/product-detail/en/kemet/T491A475K016AT/399-18027-1-ND/819022,CAP TANT 4.7UF 10% 16V 1206,399-18027-1-ND,T491A475K016AT,Kemet,7,30.98,219.14,1443.28,9085.88
">  C4, C7, C8, C10-C32, C34, C39, C40, C44, C46-C54, C60, C61, C63-C84, C86-C90, C92","0.1UF,0402",Capacitor_SMD:C_0402_1005Metric,https://www.digikey.in/product-detail/en/avx-corporation/04023C104JAT2A/478-10050-1-ND/6564273,CAP CER 0.1UF 25V X7R 0402,478-10050-1-ND,04023C104JAT2A,AVX Corporation,69,10.58,75.56,353.64,2052.33
">  C35, C38, C42","1UF,0805",Capacitor_SMD:C_0805_2012Metric,https://www.digikey.in/product-detail/en/kemet/C0805C105J3RACTU/399-10060-6-ND/3739580,CAP CER 1UF 25V X7R 0805,399-10060-6-ND,C0805C105J3RACTU,Kemet,3,84.63,640.79,4585.25,30566.6
    C36,"7500PF,0603",Capacitor_SMD:C_0603_1608Metric,https://www.digikey.in/product-detail/en/kemet/C0603C752J3GAC7867/399-9980-1-ND/3736979,CAP CER 7500PF 25V C0G/NP0 0603,399-9980-1-ND ,C0603C752J3GAC7867 ,Kemet,1,36.27,254.65,1675.26,10547.29
    C37,"220UF,2924",Aardonyx:CP_EIA-7260-38_VISHAY_Pad2.68x7.50mm_HandSolder,https://www.digikey.com/product-detail/en/avx-corporation/TCN4227M025R0100/478-12518-1-ND/9836495,CAP TANT POLY 220UF 25V 2924,478-12518-1-ND,TCN4227M025R0100,AVX Corporation,1,321.9,2894.12,21863.83,NA
">  C33, C43, C45","22UF,1206",Capacitor_SMD:C_1206_3216Metric,https://www.digikey.in/product-detail/en/samsung-electro-mechanics/CL31A226KAHNNNE/1276-3047-1-ND/3891133,CAP CER 22UF 25V X5R 1206,1276-3047-1-ND,CL31A226KAHNNNE,Samsung Electro-Mechanics,3,36.27,258.43,1701.71,10715.05
">  C56, C62","10UF,1206",Capacitor_SMD:C_1206_3216Metric,https://www.digikey.in/product-detail/en/kemet/C1206C106J3RACAUTO/399-15734-1-ND/7427614,CAP CER 10UF 25V X7R 1206,399-15734-1-ND,C1206C106J3RACAUTO,KEMET,2,65.74,500.24,3576.47,23845.13
">  C41, C57, C58","15PF,0805",Capacitor_SMD:C_0805_2012Metric,https://www.digikey.in/product-detail/en/w%C3%BCrth-elektronik/885012007029/732-7828-1-ND/5454455,CAP CER 15PF 25V C0G/NP0 0805,732-7828-1-ND,885012007029,Wurth Elektronik,3,7.56,31.74,287.15,NA
">  D1, D2",CG0603MLC-12E,Diode_SMD:D_0603_1608Metric,https://www.bourns.com/docs/Product-Datasheets/MLC.pdf,VARISTOR 0603,CG0603MLC-12ECT-ND,CG0603MLC-12E,Bourns Inc.,2,,,,
>  D3-D8,"LED,1206",LED_SMD:LED_0603_1608Metric,https://www.digikey.com/product-detail/en/lumex-opto-components-inc/SML-LX1206GW-TR/67-1002-1-ND/270799,LED GREEN DIFFUSED 1206 SMD,67-1002-1-ND,SML-LX1206GW-TR,Lumex Opto/Components Inc.,6,30.98,222.16,1450.84,8160.97
    F1,PTCCL13H921DBE,Aardonyx:vishay_ptccl_d1mm_w5mm,https://www.digikey.in/products/en?keywords=PTCCL13H921DBE,PTC RESET FUSE 30V 920MA RADIAL,BC2323-ND,PTCCL13H921DBE,Vishay BC Components,1,126.19,987.63,6684.44,50134.78
>  FB1-FB5,"600E,FB,0402",Inductor_SMD:L_0402_1005Metric,https://www.digikey.in/product-detail/en/w%C3%BCrth-elektronik/742792651/732-1593-1-ND/1639537,FERRITE BEAD 600 OHM 0402 1LN,732-2388-1-ND,7427927291,Wurth Elektronik,5,12.85,,1171.25,10654.59
    J1,USB_B_6PIN,Connector_USB:USB_B_OST_USB-B1HSxx_Horizontal,https://www.digikey.com/product-detail/en/amphenol-icc-fci/61729-0010BLF/609-1039-ND/1001353,CONN RCPT USB2.0 TYPEB 4POS R/A,609-1039-ND,61729-0010BLF,Amphenol ICC (FCI),1,74.81,661.19,5702.1,41469.8
">  J2, J9",Conn_1x8,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,https://www.digikey.com/products/en?keywords=68000-408HLF,CONN HEADER VERT 8POS 2.54MM,609-3264-ND,68000-408HLF,Amphenol ICC (FCI),2,21.91,208.56,1460.66,10433.95
">  J3, J6, J8, J12, J18, J19",Conn_1x3_M,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,https://www.digikey.com/product-detail/en/amphenol-icc-fci/68000-203HLF/609-3464-ND/2023305,CONN HEADER VERT 3POS 2.54MM,609-3464-ND,68000-203HLF,Amphenol ICC (FCI),6,21.16,194.2,1412.3,10090.13
